  0|  7|  x|  x|  9|  x| 10|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  9|  x|  x|  7|  x|  x|  x|  9|  x|  x|  x|  x|  x|  5|  1|  x|  x|  3|  x|  x| 10|  x|  x|  x|  5|  x|  4|  x|  x|  2|  x|  x|  x|  x|  2|  x|  x|  x|  3|  x|  x|  x|  4|  x|  x|  x|  x|  x|  5|  x|  x|  2|  6|  x|  x|  x|  x|  8|  9|  x|  x|  x| 10|  x|  6|  x|  5|  x|  x|  x|  x|  2|  3|  2|  8|  x|  x|  x|  x|  x|  x|  x|  x|  x|  4|  8|  x|  x|  x|  x|  x|  9| 10|  x|  x|  x|  3|  x|  x|  x|  x|  8|  4|  x|  7| 10|  x|  7|  x|  6|  x|  x|  2|  x|  x|  x|  6|  x|  x|  x|  5|  4|  x|  3|  x|  x|  x|  x|  x|  x|  6|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  6|  5|  x|  x|  x|  x|  x|  x|  x|  1|  x|  3|  x|  x|  x|  x|  x|  x|  7|  6|  x|  x|  x|  x|  3|  x|  5|  x|  6|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  2|  x|
  x|  x|  3|  x|  x|  5|  x|  x|  x|  x|  7|  0|  x|  x|  x|  2|  x|  1|  x|  4|  x|  9|  6|  4|  2|  2|  x|  x|  x|  x|  2|  7|  2|  1|  x|  x|  6|  5|  3|  x|  x|  4|  x|  x|  3|  x|  x|  x|  x|  x|  x|  7|  x|  5|  x|  1|  x|  x|  x|  8|  2|  x|  9|  5|  x| 10|  8|  x|  2|  6|  x|  x|  5|  x|  x|  x|  3|  x|  x|  x| 10|  x|  7|  7|  8|  8|  4|  x|  x|  x|  9|  x|  2|  4|  x|  x|  x|  x|  x|  x|  x|  x|  x|  4|  x|  4|  x|  x|  x| 10|  x| 10|  9| 10|  x|  9|  5|  x|  2|  8|  x|  x|  x|  x|  x|  2|  x|  6|  x|  1|  x|  x|  x|  x|  x|  x|  x| 10|  9|  x|  x|  x|  x|  x|  x|  x|  9|  x|  9|  x|  x|  4|  x|  x|  2|  9|  1|  x|  x|  x|  x|  x|  x|  x|  x|  9|  1|  x|  3|  5|  x|  x|  x|  9|  x|  x|  x|  x|  7|  9|  x|  4|  x|  x|  x|  x|  x|  8|  x|  x|  x|  9|  1|  2|  7|  x|  x|  x|  x|  6|
  x|  x|  x|  5| 10|  x|  8|  x|  8|  9|  9|  x|  0|  6|  5|  x|  x|  x|  8|  x|  8|  x|  x|  x|  x|  x|  x|  5|  x|  5|  x|  x|  1|  x|  x|  x|  9| 10|  4|  x| 10|  x|  8|  x|  x|  1|  x|  7|  x|  x|  7|  5|  x|  x|  3|  x|  2|  x|  x|  8| 10|  x|  x|  x|  x|  x|  x|  4|  4|  x|  x|  x|  1|  1|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  3|  x|  x|  x|  1|  x|  4|  x|  x|  4|  7|  7|  x|  x| 10|  x|  x|  x|  x|  x|  7|  3|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  7|  x|  4|  x|  4|  x|  5|  x|  x|  x|  x|  x|  x|  4|  x|  x|  x|  x|  x|  x|  x|  x|  6|  6|  x|  x|  x| 10|  x|  1|  x|  x|  x|  x|  5|  x|  x|  7|  3|  1|  6|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  7|  9|  x|  x|  7| 10|  x|  x|  4|  9|  2|  x| 10|  1|  x|  9|  x|  x|  x|  3|  x|  x|  x|  6|  x|  6|  x|  5|  x|
  x|  4|  x|  x|  2| 10|  x|  x|  x|  x|  x|  x|  6|  0|  x|  x|  x|  x|  x|  x|  x|  x|  5|  x|  3|  x|  x|  x|  x|  3|  x|  x|  2|  x|  8|  x|  x|  x|  x|  2|  2|  x|  x|  9|  x|  6|  x|  x|  x|  x|  x|  9|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  8| 10| 10|  3|  9|  x|  x|  x|  x|  x|  x| 10|  x|  x|  x|  x|  8|  x|  x|  2|  x|  x|  x|  9|  x|  x|  x|  9|  x|  x|  x|  x|  x|  7|  x|  x| 10|  x|  8| 10|  x| 10|  x| 10|  x|  x|  x|  x|  9|  6|  x|  x|  4|  x|  2|  x|  x| 10|  x|  x|  x|  x|  x|  x|  1|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  7|  x|  6| 10|  7|  x|  x|  1|  x|  x|  3|  x|  x|  1|  x|  x|  x|  x|  x|  7|  x|  x|  7|  x|  x|  7|  x|  x|  x| 10|  x|  x|  1|  1|  8|  x|  x|  x|  x|  x|  9|  x|  9|  x|  x|  x| 10|  x|  x|  x|  5|  5|  x|  x|  x|  x|  x|  x|  1|  x|  x|  6|  x|
  x|  5|  x|  2|  x|  x|  5|  5|  x|  4|  x|  x|  5|  x|  0|  6|  5|  x|  x|  x|  x|  7|  x|  5|  9|  x|  x|  x|  x|  x|  9|  x|  x|  x|  x|  x|  x|  x|  3|  x|  x|  8|  x| 10|  2|  x|  x|  x|  x|  x|  x|  x|  x|  8|  x|  x|  x|  5|  x|  x|  x|  x|  6|  x|  x|  x|  x|  x|  x|  9|  x|  3|  x|  x|  5|  x|  x|  x|  5|  x|  x|  x|  5|  x|  x|  8|  x|  x|  x|  x|  x|  x|  x|  2|  x|  3|  x|  x|  3|  2|  x|  x|  x|  x| 10|  x|  x|  6|  x|  x|  x|  x|  8|  8|  x|  x|  x|  x|  x|  x|  4|  6|  x|  x|  9|  6|  2|  4|  8|  x|  x|  x|  x|  x|  4|  5|  2|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  5|  4|  x|  x|  7|  x|  x|  1|  5|  x|  x|  7|  1|  6|  4|  x|  x|  x|  7|  x|  x|  x|  x|  1|  7|  x|  x|  x|  x|  x|  7|  9|  x|  x|  4|  5|  x|  x|  4|  x|  x|  5|  9|  x|  x|  9|  x|  1|  8|  x|  2|  x|
  x|  x|  x|  x|  7|  2|  x|  3|  6|  x|  7|  2|  x|  x|  6|  0|  2|  x| 10|  x|  1| 10|  x|  x|  9|  x|  x|  x|  x|  x|  x|  x|  8|  x|  x|  x|  x|  x|  x|  2|  x|  x|  1|  7|  x|  x|  x| 10|  x|  x|  x|  x|  x|  x|  1|  x|  x|  x|  1|  x|  x|  3|  x|  x|  x|  7|  x|  x|  x|  x|  x|  x|  x|  4|  x|  x|  1|  x|  x|  x|  x|  7|  x|  2|  x|  x|  x|  x|  5|  x|  x|  x|  3|  x|  x|  1|  x|  3|  x|  x|  3|  x|  x|  x|  x|  x|  x|  x|  x|  5|  3|  x|  x|  x|  x|  x|  3|  x|  x|  9|  x|  x|  x|  x|  x|  1|  6|  5|  8|  x|  x|  x|  x|  x|  9|  x|  x|  x|  x|  x|  x|  x|  6|  x|  x|  x|  1|  x|  x|  x|  5|  x|  x|  x| 10|  x|  x|  x|  x|  1|  x|  7|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  8|  x|  x|  3|  x|  x| 10|  x|  x|  x|  x|  x|  x|  5|  x|  7|  6|  x|  x|  x|  6|  7| 10|  3|  x|  x|  x|  x|
  x|  x|  x|  x|  x|  5|  x|  9|  x|  9|  x|  x|  x|  x|  5|  2|  0|  x|  x|  x|  8|  x|  x|  x|  1|  x|  6|  x|  x|  x|  x|  x|  x|  x| 10|  x|  x|  x|  3|  x|  x|  x|  x|  x|  7|  x|  x|  x|  x|  x|  x| 10|  x|  2|  x|  x|  x|  x|  x|  x|  x|  x|  x|  1|  x|  x| 10|  x|  x|  x|  x|  x|  x|  5|  1|  x|  x| 10|  1|  x|  x|  x|  x|  x| 10|  x|  x|  x|  7|  x| 10|  x|  8|  x|  x|  x|  x|  x|  3|  x|  3|  6|  x|  1|  x|  x|  7|  x|  x|  x|  x|  3|  x|  x|  8|  x|  9|  x|  x|  x|  9|  5|  x|  x|  x|  x|  x|  x| 10|  1|  x|  x|  x|  x|  x|  3|  2|  x|  8|  x| 10|  x|  x|  9|  x|  x|  x|  9|  x|  x|  x|  x|  6|  8|  x|  x|  7|  x|  5|  x|  6|  x|  8|  x|  1|  3|  x|  x|  x|  x|  x|  7|  x|  x|  x|  x|  x|  x|  x|  x|  x| 10|  8|  3|  1|  3|  3|  x|  x|  x|  x|  x|  x|  x|  x|  x|  1|  x|  1|  x|
  9|  x|  1|  x|  x|  x|  2|  x|  x|  9|  x|  1|  x|  x|  x|  x|  x|  0|  x|  x|  x|  6|  x|  x|  x|  x|  x|  x|  x|  x|  5|  x|  x|  x|  x|  x|  5|  x|  x|  x|  x|  x|  x|  9|  x|  5|  1|  x|  8|  x|  6|  6|  x|  x|  x|  x|  x|  x|  x|  2|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x| 10|  x|  x|  x|  6|  x|  x|  x|  x|  6|  6|  x|  x|  x|  x|  x|  x|  x|  x|  8|  x|  2|  x|  7|  x| 10|  x|  x|  x|  x|  x|  x| 10|  5|  x|  3|  x|  x|  x|  6|  6|  7|  9|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  4|  x|  5|  7|  1|  1|  9|  9|  x|  1|  x|  x|  2|  x|  x|  x|  x|  5|  1|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  1|  x|  x|  x|  x|  2|  x|  x|  x|  x|  x|  x|  x|  x|  x|  6|  5|  5| 10|  x|  x|  x|  x|  4|  5|  x|  x| 10|  3|  x|  2|  x|  x|  x|  x|  x|  x|  x|  9|  6|  x|  x|  x|  x|
  x|  x|  x|  x|  1|  2|  x|  x|  3|  x|  x|  x|  8|  x|  x| 10|  x|  x|  0|  x|  6|  x|  x|  x|  6|  x|  x|  1|  6|  x|  x|  x|  x|  x|  x|  x|  x|  4|  6|  6|  4|  x|  6|  x|  x|  x|  x|  x|  2|  x|  x|  x|  x|  4|  x|  x|  2|  x|  4|  1|  2| 10|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  7|  x|  x|  x|  x|  1|  x|  x|  3|  1|  x|  x|  7|  x|  x|  x|  x|  x|  x|  8|  x|  7|  x|  5|  x|  x|  x| 10|  x|  1|  x|  x|  x|  4|  x|  x|  x|  x|  x|  x|  x|  x|  x|  1|  x|  x|  x|  3|  3|  8|  x|  x|  x|  x|  x|  x|  x|  2| 10|  x|  x|  x|  x|  3|  x|  7|  x|  2|  x|  2|  x|  7|  3|  x|  x|  x|  x|  4| 10|  x|  x|  x|  x|  x|  x|  x|  x|  8|  x|  x|  x|  x|  7|  9|  x|  x|  x|  x|  5|  7|  2|  x|  x|  x|  x|  x|  3|  9|  1|  x|  x|  x|  3|  6|  x|
  x|  x|  5|  x|  x|  4|  x|  x|  x|  1|  x|  4|  x|  x|  x|  x|  x|  x|  x|  0|  2|  x|  x|  x|  6|  x|  6|  x|  x|  x|  5|  x|  x|  x|  x| 10|  x|  x|  3|  9|  x|  x|  3|  x|  3|  x|  x|  3|  x|  x|  x|  x|  2|  x|  x|  x|  x|  3|  x|  x|  x|  x|  x|  x|  8|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  4|  x|  x|  6|  x|  8|  x|  x|  x|  x|  x|  x|  x|  x|  x|  5|  x|  9|  x| 10| 10|  x|  x|  x| 10|  x|  x|  1| 10|  x|  7| 10|  x|  x|  x|  x|  2|  9|  x|  4|  x|  x|  9|  6|  8|  x|  x|  x| 10|  x|  x|  x|  x|  x| 10| 10|  x|  x|  x|  x|  2|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  5|  x|  x|  x|  x|  x| 10|  x|  x|  x|  x|  x|  8|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x| 10|  x|  x|  x|  5|  8|  x|  x|  x|  8|  3|  7|  x|  x|  x|  x|  5|  1|  x|  5|  9|  x|  7|  6|
  7|  x|  x|  x|  x|  x|  x|  9|  x|  x|  1|  x|  8|  x|  x|  1|  8|  x|  6|  2|  0|  x|  x|  x|  5|  x|  x|  1|  x|  x|  x|  x|  6|  7|  x|  x|  x|  x|  3|  x|  1|  2|  7|  3|  x|  x|  x|  x|  x|  6|  x|  x|  x|  3|  x|  x|  8|  x|  x|  x|  x|  x| 10|  x|  x|  x|  8|  x|  x|  x|  x|  x|  x|  x| 10|  x|  x|  x|  x|  x|  x|  x|  x|  9|  x|  x|  x|  6|  x|  x|  x|  x|  x|  x|  8|  x|  x|  x|  x|  x|  x|  x|  x|  7|  1|  3|  x|  x|  1|  x|  x|  x|  x|  x|  6|  x|  x|  x|  3|  x|  x|  1|  x|  x|  9|  1|  3|  x|  x|  3|  x|  x|  x|  3|  x|  x|  x|  x|  x|  1|  x|  4|  4|  x|  x|  x|  x|  6|  x|  x|  x|  2|  2|  x|  x|  x|  x|  x|  x|  9|  x|  x|  x|  4|  x|  x|  3|  x|  x|  6|  9|  1|  x|  1|  8|  x|  7|  x|  x|  x|  x|  5|  x|  x|  2|  x|  2|  x|  x|  x|  x|  x|  x|  x|  x|  2|  9|  x|  x|  x|
  x|  4|  x|  x|  x|  x|  x|  x|  7|  3|  x|  9|  x|  x|  7| 10|  x|  6|  x|  x|  x|  0|  4|  x|  x|  x|  1|  7|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  4|  x|  x|  8|  x|  x|  x|  x|  6|  x|  2|  x|  x|  x|  6|  7|  2|  x|  x|  x|  9|  x|  x|  7|  x|  x|  x|  x|  x|  x|  3|  x|  x|  x|  x|  x|  x|  x|  x|  8|  x|  1|  x|  x|  x|  x|  x|  3|  x|  x|  6|  x|  x|  3|  x|  x|  x|  x|  x|  4|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  7|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  2|  x|  2|  4|  4|  x|  x|  x|  1|  5| 10|  x|  2|  x|  x|  x|  x|  x|  x|  9|  x|  x|  5|  x|  x|  x|  x|  x|  x|  x|  x|  2|  5|  x|  x|  2|  8|  x|  x|  x|  x|  2|  x|  x|  x|  x|  x|  x|  x|  x|  8|  x|  x|  x|  x|  x|  5|  x|  x|  x|  4|  6|  x|  x|  9| 10|  x|  x| 10|  x|  5|  x|  x|  x|  x|
